Fach;Bezeichnung;FachkuerzelAtomar;Kurzbezeichnung;Aufgabenfeld;Fachgruppe_ID;SchulformenUndGliederungen;SchulformenAusgelaufen;AusgelaufenInSchuljahr;AbJahrgang;IstFremdsprache;IstHKFS;IstAusRegUFach;IstErsatzPflichtFS;IstKonfKoop;NurSII;ExportASD;gueltigVon;gueltigBis
VM;Unterricht in der Herkunftssprache - Bulgarisch;VM;Unterricht in der Herkunftssprache - Bulgarisch;;;BK,G,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V;;;;1;1;0;0;0;0;1;;
VO;vokalpraktischer Grundkurs;VO;vokalpraktischer Grundkurs;;5;GE,GM,GY,PS,SG;;;;0;0;0;0;0;0;1;;
VP;Volkswirtschaftslehre/Politik;VP;Volkswirtschaftslehre/Politik;;6;BK,SB;;;;0;0;0;0;0;0;1;;
VT;Verfahrenstechnik;VT;Verfahrenstechnik;;;BK,SB;;;;0;0;0;0;0;0;1;;
VW;Volkswirtschaftslehre;VW;Volkswirtschaftslehre;;6;SB,WB;;;;0;0;0;0;0;0;1;;
VX;Vertiefungsfach;VX;Vertiefungsfach;;13;GE,GY,SG,WB;;;;0;0;0;0;0;0;1;;
W;Werken;W;Werken;;4;S;;;;0;0;0;0;0;0;1;;
WG;Wirtschaftsgeographie;WG;Wirtschaftsgeographie;;;BK,SB;;;;0;0;0;0;0;0;1;;
WI;Wirtschaftsinformatik/Organisationslehre;WI;Wirtschaftsinformatik/Organisationslehre;;;BK,SB;;;;0;0;0;0;0;0;1;;
WP;Wirtschaft-Politik;WP;Wirtschaft-Politik;;;GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;0;0;0;0;0;0;1;;
WW;Wirtschaftslehre;WW;Wirtschaftslehre;;6;BK,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V;;;;0;0;0;0;0;0;1;;
XH;Herkunftssprache anstelle einer Pflichtfremdsprache - sonstige Sprache;XH;Herkunftssprache anstelle einer Pflichtfremdsprache - sonstige Sprache;;;GE,GM,GY,H,PS,R,S,SG,SK,SR;;;;1;1;0;1;0;0;1;;
XM;Unterricht in der Herkunftssprache - sonstige Sprache;XM;Unterricht in der Herkunftssprache - sonstige Sprache;;;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;1;1;0;0;0;0;1;;
XX;Sonstige Fächer ohne Fremdsprachen (kein Import nach ASDPC);XX;Sonstige Fächer ohne Fremdsprachen (kein Import nach ASDPC);;;FW;;;;0;0;0;0;0;0;0;;
YH;Herkunftssprache anstelle einer Pflichtfremdsprache - Koreanisch;YH;Herkunftssprache anstelle einer Pflichtfremdsprache - Koreanisch;;;GE,GM,GY,H,PS,R,S,SG,SK,SR;;;;1;1;0;1;0;0;1;;
YM;Unterricht in der Herkunftssprache - Koreanisch;YM;Unterricht in der Herkunftssprache - Koreanisch;;;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;1;1;0;0;0;0;1;;
YR;orthodoxe Religionslehre (Syrisch);YR;orthodoxe Religionslehre (Syrisch);;8;BK,G,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V,WB;;;;0;0;0;0;0;0;1;;
Z;Neugriechisch;Z;Neugriechisch;1;3;BK,(H,R),SB,WB;;;;1;0;0;0;0;0;1;;
